# Time-averaged data for fix react_f
# TimeStep f_wallbot[1] f_walltop[1]
57300 7193.55 -7193.55
57400 7031.35 -7031.34
57500 6881.81 -6881.81
57600 6741.27 -6741.27
57700 6600.33 -6600.33
57800 6456.6 -6456.59
57900 6307.04 -6307.04
58000 6139.54 -6139.54
58100 5954.83 -5954.82
58200 5749.78 -5749.77
58300 5526.11 -5526.11
58400 5288.38 -5288.38
58500 5043.55 -5043.55
58600 4801.12 -4801.12
58700 4572.11 -4572.1
58800 4367.83 -4367.83
58900 4200.09 -4200.09
59000 4071.88 -4071.88
59100 3990.52 -3990.52
59200 3959.29 -3959.28
59300 3979.39 -3979.37
59400 4050.68 -4050.66
59500 4171.28 -4171.27
59600 4338.07 -4338.06
59700 4546.97 -4546.95
59800 4793.2 -4793.18
59900 5071.14 -5071.12
60000 5374.08 -5374.06
