step strain stress33
42300 0.0423 1801853440.9231
42400 0.0424 1804921756.61586
42500 0.0425 1808021420.46712
42600 0.0426 1811219013.75789
42700 0.0427 1814607738.76466
42800 0.0428 1818280755.57028
42900 0.0429 1822300241.3796
43000 0.043 1826683546.77992
43100 0.0431 1831398457.62355
43200 0.0432 1836361582.62216
43300 0.0433 1841460521.01638
43400 0.0434 1846598900.98394
43500 0.0435 1851719170.07024
43600 0.0436 1856782496.28219
43700 0.0437 1861745129.08409
43800 0.0438 1866558548.68295
43900 0.0439 1871166658.85724
44000 0.044 1875489670.93532
44100 0.0441 1879438885.62004
44200 0.0442 1882976294.23995
44300 0.0443 1886154132.66615
44400 0.0444 1889083925.56361
44500 0.0445 1891878435.01205
44600 0.0446 1894633970.0544
44700 0.0447 1897446827.43839
44800 0.0448 1900413856.99669
44900 0.0449 1903607602.93951
45000 0.045 1907061011.27774
45100 0.0451 1910785580.19391
45200 0.0452 1914806441.43019
45300 0.0453 1919174215.47211
45400 0.0454 1923929561.149
45500 0.0455 1929046448.18328
45600 0.0456 1934411102.79693
45700 0.0457 1939855019.14524
45800 0.0458 1945202932.10599
45900 0.0459 1950305118.73469
46000 0.046 1955065796.17758
46100 0.0461 1959466741.80124
46200 0.0462 1963551864.41259
46300 0.0463 1967375268.48557
46400 0.0464 1970971425.60935
46500 0.0465 1974369490.73582
46600 0.0466 1977599840.13761
46700 0.0467 1980671073.21458
46800 0.0468 1983576515.42897
46900 0.0469 1986358056.72643
47000 0.047 1989149978.45799
47100 0.0471 1992132455.94199
47200 0.0472 1995442643.78201
47300 0.0473 1999132429.91189
47400 0.0474 2003182412.97997
47500 0.0475 2007528333.11801
47600 0.0476 2012086088.34479
47700 0.0477 2016781276.5119
47800 0.0478 2021566643.86839
47900 0.0479 2026414669.98072
48000 0.048 2031304882.61484
48100 0.0481 2036219499.05309
48200 0.0482 2041129828.70184
48300 0.0483 2045969369.50341
48400 0.0484 2050627619.39529
48500 0.0485 2054986480.96241
48600 0.0486 2058972203.31582
48700 0.0487 2062582097.9365
48800 0.0488 2065875118.61012
48900 0.0489 2068941094.86804
49000 0.049 2071869326.14132
49100 0.0491 2074733230.0998
49200 0.0492 2077591865.88966
49300 0.0493 2080496282.77603
49400 0.0494 2083497853.14727
49500 0.0495 2086663303.14927
49600 0.0496 2090081387.838
49700 0.0497 2093838454.90703
49800 0.0498 2097979549.62335
49900 0.0499 2102496170.47022
50000 0.05 2107338660.26425
50100 0.0501 2112417402.89985
50200 0.0502 2117600365.92374
50300 0.0503 2122747653.30804
50400 0.0504 2127765331.64198
50500 0.0505 2132610460.05968
50600 0.0506 2137244654.27211
50700 0.0507 2141612347.98479
50800 0.0508 2145671605.51977
50900 0.0509 2149415135.36569
51000 0.051 2152848120.34152
51100 0.0511 2155976375.054
51200 0.0512 2158840601.68652
51300 0.0513 2161545221.58374
51400 0.0514 2164231922.66338
51500 0.0515 2167029212.68436
51600 0.0516 2170029425.60008
51700 0.0517 2173289991.49293
51800 0.0518 2176832216.01619
51900 0.0519 2180641732.40031
52000 0.052 2184686276.33683
52100 0.0521 2188939484.23868
52200 0.0522 2193388089.60635
52300 0.0523 2198019750.82545
52400 0.0524 2202805968.34286
52500 0.0525 2207694680.52334
52600 0.0526 2212615873.35492
52700 0.0527 2217488860.29124
52800 0.0528 2222222303.72131
52900 0.0529 2226721408.76903
53000 0.053 2230918156.18187
53100 0.0531 2234802510.42362
53200 0.0532 2238415970.98753
53300 0.0533 2241814666.84951
53400 0.0534 2245045989.60016
53500 0.0535 2248149342.79602
53600 0.0536 2251154619.96973
53700 0.0537 2254078771.42239
53800 0.0538 2256947665.72054
53900 0.0539 2259828634.09193
54000 0.054 2262825579.93282
54100 0.0541 2266039046.18785
54200 0.0542 2269542552.48734
54300 0.0543 2273386517.81753
54400 0.0544 2277591486.22501
54500 0.0545 2282126197.74685
54600 0.0546 2286911452.73863
54700 0.0547 2291853126.51577
54800 0.0548 2296859272.50212
54900 0.0549 2301831659.57352
55000 0.055 2306671831.6472
55100 0.0551 2311310214.57691
55200 0.0552 2315715236.28283
55300 0.0553 2319866787.66195
55400 0.0554 2323735026.11225
55500 0.0555 2327293645.07884
55600 0.0556 2330544828.77661
55700 0.0557 2333527117.98125
55800 0.0558 2336308327.38912
55900 0.0559 2338976573.09296
56000 0.056 2341632441.70635
56100 0.0561 2344381393.82029
56200 0.0562 2347324691.49379
56300 0.0563 2350543605.86724
56400 0.0564 2354080959.07835
56500 0.0565 2357935656.44743
56600 0.0566 2362074502.53354
56700 0.0567 2366447921.28066
56800 0.0568 2371001664.55809
56900 0.0569 2375685374.47838
57000 0.057 2380451284.94295
57100 0.0571 2385239548.72535
57200 0.0572 2389971043.81114
57300 0.0573 2394566245.96911
57400 0.0574 2398968933.46827
57500 0.0575 2403145426.8465
57600 0.0576 2407073355.66219
57700 0.0577 2410748361.91935
57800 0.0578 2414194733.47061
57900 0.0579 2417451633.17428
58000 0.058 2420551489.3418
58100 0.0581 2423522903.40712
58200 0.0582 2426405206.31108
58300 0.0583 2429246995.19654
58400 0.0584 2432102402.38262
58500 0.0585 2435044910.14612
58600 0.0586 2438169713.07301
58700 0.0587 2441556857.63567
58800 0.0588 2445235522.67227
58900 0.0589 2449197495.72896
59000 0.059 2453428408.0651
59100 0.0591 2457899469.11417
59200 0.0592 2462539621.1244
59300 0.0593 2467250782.35244
59400 0.0594 2471958727.65521
59500 0.0595 2476630868.08451
59600 0.0596 2481241944.29643
59700 0.0597 2485740253.19224
59800 0.0598 2490052418.83502
59900 0.0599 2494106482.48284
60000 0.06 2497844850.76215
60100 0.0601 2501231800.03203
60200 0.0602 2504270229.16703
60300 0.0603 2507020482.62245
60400 0.0604 2509598960.78066
60500 0.0605 2512147803.29058
60600 0.0606 2514794749.21303
60700 0.0607 2517631153.31607
60800 0.0608 2520711121.09817
60900 0.0609 2524052959.13597
61000 0.061 2527641405.22076
61100 0.0611 2531449955.76555
61200 0.0612 2535473893.01334
61300 0.0613 2539730368.64502
61400 0.0614 2544218024.87328
61500 0.0615 2548888067.38658
61600 0.0616 2553658489.92146
61700 0.0617 2558435293.31489
61800 0.0618 2563109727.02892
61900 0.0619 2567564608.47736
62000 0.062 2571717981.08559
62100 0.0621 2575559816.31213
62200 0.0622 2579133913.3519
62300 0.0623 2582494038.71865
62400 0.0624 2585687185.31193
62500 0.0625 2588757924.44849
62600 0.0626 2591741027.16302
62700 0.0627 2594652952.59375
62800 0.0628 2597508703.29038
62900 0.0629 2600346696.51979
63000 0.063 2603230314.32921
63100 0.0631 2606234518.5687
63200 0.0632 2609438593.21853
63300 0.0633 2612913346.35303
63400 0.0634 2616689129.90245
63500 0.0635 2620733228.13499
63600 0.0636 2624970667.63659
63700 0.0637 2629331722.43095
63800 0.0638 2633777979.26099
63900 0.0639 2638288046.16341
64000 0.064 2642828278.35862
64100 0.0641 2647341490.69593
64200 0.0642 2651760203.82352
64300 0.0643 2656023087.30902
64400 0.0644 2660073946.39214
64500 0.0645 2663854521.44669
64600 0.0646 2667320243.85477
64700 0.0647 2670473901.30488
64800 0.0648 2673375402.72799
64900 0.0649 2676113289.34294
65000 0.065 2678773908.48064
65100 0.0651 2681433895.37046
65200 0.0652 2684157564.94542
65300 0.0653 2686988700.09372
65400 0.0654 2689960906.66743
65500 0.0655 2693126785.49569
65600 0.0656 2696559884.95802
65700 0.0657 2700313331.43933
65800 0.0658 2704387087.16072
65900 0.0659 2708740208.54365
66000 0.066 2713310699.82101
66100 0.0661 2718007182.19471
66200 0.0662 2722703748.68018
66300 0.0663 2727273834.51792
66400 0.0664 2731634019.70573
66500 0.0665 2735752364.83281
66600 0.0666 2739629320.80301
66700 0.0667 2743282796.69362
66800 0.0668 2746737605.26572
66900 0.0669 2750010111.51273
67000 0.067 2753103607.81849
67100 0.0671 2756025425.74767
67200 0.0672 2758804735.38789
67300 0.0673 2761492303.7281
67400 0.0674 2764155179.43022
67500 0.0675 2766878824.44224
67600 0.0676 2769761598.90381
67700 0.0677 2772888275.45436
67800 0.0678 2776298325.37057
67900 0.0679 2779974933.65589
68000 0.068 2783862319.84318
68100 0.0681 2787898318.81788
68200 0.0682 2792039796.72831
68300 0.0683 2796263948.26864
68400 0.0684 2800552235.51846
68500 0.0685 2804879561.76385
68600 0.0686 2809213392.46725
68700 0.0687 2813507877.68959
68800 0.0688 2817696197.02896
68900 0.0689 2821704172.59045
69000 0.069 2825480170.73149
69100 0.0691 2829005307.26438
69200 0.0692 2832278509.21284
69300 0.0693 2835311990.24953
69400 0.0694 2838146203.15157
69500 0.0695 2840849019.4586
69600 0.0696 2843488994.32004
69700 0.0697 2846122018.2579
69800 0.0698 2848808744.86582
69900 0.0699 2851624105.21357
70000 0.07 2854634535.13854
70100 0.0701 2857875995.38009
70200 0.0702 2861362379.82798
70300 0.0703 2865102002.98024
70400 0.0704 2869092868.7307
70500 0.0705 2873308046.86497
70600 0.0706 2877693536.51609
70700 0.0707 2882176012.67868
70800 0.0708 2886671120.39809
70900 0.0709 2891093811.21244
71000 0.071 2895368301.39471
71100 0.0711 2899430460.13647
71200 0.0712 2903229516.19703
71300 0.0713 2906739789.2204
71400 0.0714 2909971125.48978
71500 0.0715 2912961456.06706
71600 0.0716 2915761942.88364
71700 0.0717 2918433652.09029
71800 0.0718 2921047946.97991
71900 0.0719 2923674448.87717
72000 0.072 2926367607.22934
72100 0.0721 2929170549.17042
72200 0.0722 2932126484.36665
72300 0.0723 2935277204.47593
72400 0.0724 2938651634.35266
72500 0.0725 2942258601.5395
72600 0.0726 2946084579.40744
72700 0.0727 2950093711.11247
72800 0.0728 2954236155.34221
72900 0.0729 2958461718.62182
73000 0.073 2962721759.12363
73100 0.0731 2966959874.65435
73200 0.0732 2971113250.76242
73300 0.0733 2975129835.49329
73400 0.0734 2978980071.47973
73500 0.0735 2982651322.42504
73600 0.0736 2986136989.19086
73700 0.0737 2989430829.27417
73800 0.0738 2992526941.94856
73900 0.0739 2995430008.37046
74000 0.074 2998174394.92492
74100 0.0741 3000829014.48247
74200 0.0742 3003472436.86183
74300 0.0743 3006162566.82348
74400 0.0744 3008933783.41075
74500 0.0745 3011814704.39711
74600 0.0746 3014837842.60742
74700 0.0747 3018036838.81629
74800 0.0748 3021443436.7936
74900 0.0749 3025081711.7229
75000 0.075 3028956020.95104
75100 0.0751 3033045677.35886
75200 0.0752 3037310249.41966
75300 0.0753 3041685877.18894
75400 0.0754 3046071911.81116
75500 0.0755 3050343131.45976
75600 0.0756 3054397586.76356
75700 0.0757 3058193101.34431
75800 0.0758 3061734353.60355
75900 0.0759 3065038710.94279
76000 0.076 3068126222.20558
76100 0.0761 3071028566.84292
76200 0.0762 3073786279.23705
76300 0.0763 3076435021.70671
76400 0.0764 3079003733.63827
76500 0.0765 3081528885.30675
76600 0.0766 3084069107.32799
76700 0.0767 3086707449.02302
76800 0.0768 3089536528.35246
76900 0.0769 3092630476.00022
77000 0.077 3096021371.67947
77100 0.0771 3099695675.55386
77200 0.0772 3103603887.77348
77300 0.0773 3107670081.88014
77400 0.0774 3111805620.46071
77500 0.0775 3115932817.22583
77600 0.0776 3120002567.65551
77700 0.0777 3123990561.78776
77800 0.0778 3127884554.26164
77900 0.0779 3131676977.46949
78000 0.078 3135353668.5361
78100 0.0781 3138877128.33705
78200 0.0782 3142192033.19484
78300 0.0783 3145264056.12771
78400 0.0784 3148112335.76057
78500 0.0785 3150799169.28365
78600 0.0786 3153397216.32142
78700 0.0787 3155972678.94466
78800 0.0788 3158584360.87666
78900 0.0789 3161279647.72057
79000 0.079 3164090589.97295
79100 0.0791 3167039252.46616
79200 0.0792 3170141591.64187
79300 0.0793 3173403449.74535
79400 0.0794 3176823726.96187
79500 0.0795 3180407538.77225
79600 0.0796 3184165469.57715
79700 0.0797 3188090861.95386
79800 0.0798 3192142851.69069
79900 0.0799 3196255315.86086
80000 0.08 3200355270.2307
80100 0.0801 3204371906.16621
80200 0.0802 3208241843.04636
80300 0.0803 3211917545.75391
80400 0.0804 3215371282.69311
80500 0.0805 3218591747.59284
80600 0.0806 3221582642.77119
80700 0.0807 3224364299.75173
80800 0.0808 3226971826.27202
80900 0.0809 3229453381.67926
81000 0.081 3231873124.10588
81100 0.0811 3234308427.11036
81200 0.0812 3236834279.56539
81300 0.0813 3239510012.18996
81400 0.0814 3242380805.22756
81500 0.0815 3245479707.6236
81600 0.0816 3248817236.7224
81700 0.0817 3252374838.85096
81800 0.0818 3256117228.7929
81900 0.0819 3260006908.04369
82000 0.082 3264001792.99801
82100 0.0821 3268047352.42319
82200 0.0822 3272081135.10203
82300 0.0823 3276042739.23435
82400 0.0824 3279876582.84919
82500 0.0825 3283533395.86914
82600 0.0826 3286978017.71786
82700 0.0827 3290197206.30259
82800 0.0828 3293200877.67757
82900 0.0829 3296018972.43076
83000 0.083 3298694311.4565
83100 0.0831 3301271395.50138
83200 0.0832 3303792454.21001
83300 0.0833 3306306054.77352
83400 0.0834 3308869593.51571
83500 0.0835 3311532687.97022
83600 0.0836 3314323989.33819
83700 0.0837 3317262699.9098
83800 0.0838 3320371954.40055
83900 0.0839 3323664879.89188
84000 0.084 3327123890.0815
84100 0.0841 3330710867.39264
84200 0.0842 3334396220.61755
84300 0.0843 3338165206.32788
84400 0.0844 3341999317.72059
84500 0.0845 3345865377.13324
84600 0.0846 3349720361.35502
84700 0.0847 3353512879.58358
84800 0.0848 3357180910.77966
84900 0.0849 3360663441.67742
85000 0.085 3363922664.96114
85100 0.0851 3366954359.32592
85200 0.0852 3369781049.08788
85300 0.0853 3372442179.6866
85400 0.0854 3374987291.62706
85500 0.0855 3377467615.66989
85600 0.0856 3379927622.01964
85700 0.0857 3382403627.38067
85800 0.0858 3384930606.31159
85900 0.0859 3387550257.982
86000 0.086 3390311689.97442
86100 0.0861 3393260882.15894
86200 0.0862 3396427641.78675
86300 0.0863 3399824317.44927
86400 0.0864 3403451133.98143
86500 0.0865 3407286381.03624
86600 0.0866 3411264495.59581
86700 0.0867 3415277951.0738
86800 0.0868 3419215969.16214
86900 0.0869 3423002178.03686
87000 0.087 3426599030.30853
87100 0.0871 3429996695.48578
87200 0.0872 3433208880.3187
87300 0.0873 3436261549.75882
87400 0.0874 3439167622.22445
87500 0.0875 3441920358.52561
87600 0.0876 3444521448.06238
87700 0.0877 3447002331.15618
