step strain stress33
35400 0.0354 932670685.970961
35500 0.0355 934528354.244389
35600 0.0356 936317321.78914
35700 0.0357 938084583.359244
35800 0.0358 939855313.690445
35900 0.0359 941663746.075245
36000 0.036 943574448.538101
36100 0.0361 945675350.881794
36200 0.0362 948047522.939624
36300 0.0363 950737214.74751
36400 0.0364 953745226.758117
36500 0.0365 957023081.845637
36600 0.0366 960470036.553054
36700 0.0367 963951237.836444
36800 0.0368 967345896.094748
36900 0.0369 970587278.65229
37000 0.037 973653828.214683
37100 0.0371 976530621.866879
37200 0.0372 979192282.706967
37300 0.0373 981614441.863731
37400 0.0374 983782058.42918
37500 0.0375 985690980.14781
37600 0.0376 987368544.041616
37700 0.0377 988904918.942056
37800 0.0378 990448624.784185
37900 0.0379 992152554.124557
38000 0.038 994116295.277483
38100 0.0381 996369331.8943
38200 0.0382 998890607.977959
38300 0.0383 1001637538.91026
38400 0.0384 1004571279.92408
38500 0.0385 1007671639.05387
38600 0.0386 1010929108.14915
38700 0.0387 1014313091.20629
38800 0.0388 1017742739.53589
38900 0.0389 1021092982.47415
39000 0.039 1024237319.79641
39100 0.0391 1027093768.63216
39200 0.0392 1029641579.65753
39300 0.0393 1031909425.85511
39400 0.0394 1033957558.33252
39500 0.0395 1035862204.72742
39600 0.0396 1037692885.3989
39700 0.0397 1039489562.14076
39800 0.0398 1041267912.61728
39900 0.0399 1043056593.12433
40000 0.04 1044926095.846
40100 0.0401 1046975015.39303
40200 0.0402 1049290154.81648
40300 0.0403 1051915447.3814
40400 0.0404 1054836738.0334
40500 0.0405 1057978711.80581
40600 0.0406 1061227869.27051
40700 0.0407 1064482735.87696
40800 0.0408 1067690543.55862
40900 0.0409 1070833913.67144
41000 0.041 1073890989.12268
41100 0.0411 1076819439.44123
41200 0.0412 1079570821.05714
41300 0.0413 1082103982.50128
41400 0.0414 1084387334.48444
41500 0.0415 1086409186.32455
41600 0.0416 1088200828.89279
41700 0.0417 1089849331.95712
41800 0.0418 1091480568.32282
41900 0.0419 1093217213.0995
42000 0.042 1095134695.55483
42100 0.0421 1097244350.38115
42200 0.0422 1099520944.83163
42300 0.0423 1101955175.85931
42400 0.0424 1104581927.99859
42500 0.0425 1107454358.71775
42600 0.0426 1110587516.26143
42700 0.0427 1113922588.27801
42800 0.0428 1117338758.79999
42900 0.0429 1120697620.18914
43000 0.043 1123885450.43316
43100 0.0431 1126831698.23341
43200 0.0432 1129509349.23655
43300 0.0433 1131931399.61528
43400 0.0434 1134140815.9333
43500 0.0435 1136183993.58495
43600 0.0436 1138082306.89931
43700 0.0437 1139836844.70947
43800 0.0438 1141470651.2597
43900 0.0439 1143064105.28662
44000 0.044 1144744294.53995
44100 0.0441 1146639640.9226
44200 0.0442 1148836453.47161
44300 0.0443 1151357755.34798
44400 0.0444 1154167257.41345
44500 0.0445 1157194495.66737
44600 0.0446 1160363209.24765
44700 0.0447 1163601309.80672
44800 0.0448 1166838868.29383
44900 0.0449 1170018084.79516
45000 0.045 1173107147.63246
45100 0.0451 1176082689.0057
45200 0.0452 1178888485.25759
45300 0.0453 1181432073.43295
45400 0.0454 1183645855.02724
45500 0.0455 1185552190.82271
45600 0.0456 1187261269.89122
45700 0.0457 1188909960.9206
45800 0.0458 1190604513.99482
45900 0.0459 1192401900.8196
46000 0.046 1194319488.56192
46100 0.0461 1196357771.15811
46200 0.0462 1198528408.67624
46300 0.0463 1200870838.87648
46400 0.0464 1203438885.17928
46500 0.0465 1206263983.23462
46600 0.0466 1209325095.62036
46700 0.0467 1212546397.84036
46800 0.0468 1215817725.0595
46900 0.0469 1219022905.96238
47000 0.047 1222068596.84431
47100 0.0471 1224908793.68376
47200 0.0472 1227550399.19124
47300 0.0473 1230027059.71248
47400 0.0474 1232357877.86206
47500 0.0475 1234530558.97328
47600 0.0476 1236525081.89161
47700 0.0477 1238347971.43643
47800 0.0478 1240043409.01286
47900 0.0479 1241686847.19813
48000 0.048 1243380149.72425
48100 0.0481 1245236800.79241
48200 0.0482 1247340622.95582
48300 0.0483 1249706959.58646
48400 0.0484 1252293000.39185
48500 0.0485 1255047703.73847
48600 0.0486 1257942784.44738
48700 0.0487 1260960736.69668
48800 0.0488 1264073426.90349
48900 0.0489 1267238464.1747
49000 0.049 1270399098.68715
49100 0.0491 1273475107.85466
49200 0.0492 1276365364.33052
49300 0.0493 1278979954.59816
49400 0.0494 1281281562.30528
49500 0.0495 1283302390.76826
49600 0.0496 1285126725.85556
49700 0.0497 1286853281.60801
49800 0.0498 1288558725.6004
49900 0.0499 1290281930.1876
50000 0.05 1292038571.37772
50100 0.0501 1293854441.55772
50200 0.0502 1295789517.59007
50300 0.0503 1297931273.41711
50400 0.0504 1300358572.98551
50500 0.0505 1303099371.01779
50600 0.0506 1306112001.09627
50700 0.0507 1309300773.93965
50800 0.0508 1312548174.32414
50900 0.0509 1315742186.13303
51000 0.051 1318798204.6691
51100 0.0511 1321678475.71801
51200 0.0512 1324389673.75532
51300 0.0513 1326944544.52636
51400 0.0514 1329320848.1515
51500 0.0515 1331468766.50803
51600 0.0516 1333364188.46423
51700 0.0517 1335049901.59043
51800 0.0518 1336626547.61617
51900 0.0519 1338213318.67066
52000 0.052 1339913502.4659
52100 0.0521 1341795505.51491
52200 0.0522 1343887892.46864
52300 0.0523 1346189418.11421
52400 0.0524 1348685752.3031
52500 0.0525 1351357061.28987
52600 0.0526 1354177178.25954
52700 0.0527 1357118013.08384
52800 0.0528 1360154984.21533
52900 0.0529 1363255100.56132
53000 0.053 1366352324.59721
53100 0.0531 1369342462.56279
53200 0.0532 1372117055.9575
53300 0.0533 1374614719.71344
53400 0.0534 1376848909.77902
53500 0.0535 1378890550.35501
53600 0.0536 1380819538.8602
53700 0.0537 1382683432.22322
53800 0.0538 1384494219.56237
53900 0.0539 1386257626.91824
54000 0.054 1388001778.01289
54100 0.0541 1389783245.50186
54200 0.0542 1391676488.32741
54300 0.0543 1393758319.53659
54400 0.0544 1396086807.90388
54500 0.0545 1398677065.26867
54600 0.0546 1401489769.47443
54700 0.0547 1404444364.04223
54800 0.0548 1407450798.43498
54900 0.0549 1410442282.25668
55000 0.055 1413390154.62593
55100 0.0551 1416287747.15935
55200 0.0552 1419112434.8866
55300 0.0553 1421803028.56985
55400 0.0554 1424280773.17772
55500 0.0555 1426495136.60972
55600 0.0556 1428451480.00402
55700 0.0557 1430205165.78504
55800 0.0558 1431840497.44626
55900 0.0559 1433450176.45479
56000 0.056 1435115533.14915
56100 0.0561 1436892182.85329
56200 0.0562 1438810655.76988
56300 0.0563 1440888159.49497
56400 0.0564 1443138800.32058
56500 0.0565 1445578845.11646
56600 0.0566 1448227575.21356
56700 0.0567 1451094255.77812
56800 0.0568 1454148550.03895
56900 0.0569 1457300869.00242
57000 0.057 1460423200.92059
57100 0.0571 1463400455.81893
57200 0.0572 1466168236.59381
57300 0.0573 1468711042.47546
57400 0.0574 1471037948.77079
57500 0.0575 1473166017.62337
57600 0.0576 1475118412.12919
57700 0.0577 1476924321.45321
57800 0.0578 1478615567.60722
57900 0.0579 1480229836.62815
58000 0.058 1481824566.25087
58100 0.0581 1483484940.26971
58200 0.0582 1485307880.1764
58300 0.0583 1487369166.49665
58400 0.0584 1489698611.80006
58500 0.0585 1492275069.6463
58600 0.0586 1495035520.49678
58700 0.0587 1497897294.66941
58800 0.0588 1500793964.52268
58900 0.0589 1503700418.06873
59000 0.059 1506614952.84663
59100 0.0591 1509511569.2283
59200 0.0592 1512317946.19159
59300 0.0593 1514944267.03021
59400 0.0594 1517326035.11377
59500 0.0595 1519442933.55498
59600 0.0596 1521321842.14334
59700 0.0597 1523038433.51104
59800 0.0598 1524699239.05316
59900 0.0599 1526394658.61871
60000 0.06 1528161731.58262
60100 0.0601 1529996834.29911
60200 0.0602 1531899149.04558
60300 0.0603 1533895309.64217
60400 0.0604 1536031886.35018
60500 0.0605 1538357437.33364
60600 0.0606 1540904284.76088
60700 0.0607 1543665529.13503
60800 0.0608 1546579590.46615
60900 0.0609 1549545092.15996
61000 0.061 1552462330.39875
61100 0.0611 1555268590.6118
61200 0.0612 1557942870.72499
61300 0.0613 1560485497.93759
61400 0.0614 1562894853.2511
61500 0.0615 1565157389.27915
61600 0.0616 1567252627.0595
61700 0.0617 1569166556.93038
61800 0.0618 1570907333.93841
61900 0.0619 1572518782.28253
62000 0.062 1574082650.31416
62100 0.0621 1575700457.67188
62200 0.0622 1577461783.68653
62300 0.0623 1579420112.32552
62400 0.0624 1581587954.4561
62500 0.0625 1583944935.07804
62600 0.0626 1586452937.81833
62700 0.0627 1589079458.10101
62800 0.0628 1591816062.31838
62900 0.0629 1594666299.16847
63000 0.063 1597606212.97662
63100 0.0631 1600559900.86388
63200 0.0632 1603419883.72259
63300 0.0633 1606090880.15999
63400 0.0634 1608517515.79969
63500 0.0635 1610687546.31843
63600 0.0636 1612626573.18116
63700 0.0637 1614390050.67203
63800 0.0638 1616048002.34982
63900 0.0639 1617666312.34355
64000 0.064 1619294639.67878
64100 0.0641 1620964998.59716
64200 0.0642 1622702226.00747
64300 0.0643 1624544534.12464
64400 0.0644 1626556234.21258
64500 0.0645 1628808530.00688
64600 0.0646 1631333593.25676
64700 0.0647 1634091913.51817
64800 0.0648 1636984777.67655
64900 0.0649 1639900502.37168
65000 0.065 1642757027.22564
65100 0.0651 1645516184.80012
65200 0.0652 1648169415.82821
65300 0.0653 1650710168.93532
65400 0.0654 1653114239.8323
65500 0.0655 1655342720.02106
65600 0.0656 1657363656.26395
65700 0.0657 1659175043.0649
65800 0.0658 1660815462.06172
65900 0.0659 1662360121.22975
66000 0.066 1663904980.65389
66100 0.0661 1665543073.59411
66200 0.0662 1667340485.56318
66300 0.0663 1669320915.41639
66400 0.0664 1671467632.22785
66500 0.0665 1673746912.02658
66600 0.0666 1676140320.18999
66700 0.0667 1678657152.08034
66800 0.0668 1681311043.78421
66900 0.0669 1684083129.05597
67000 0.067 1686910801.29029
67100 0.0671 1689709718.41206
67200 0.0672 1692402321.86375
67300 0.0673 1694933447.89067
67400 0.0674 1697277228.17608
67500 0.0675 1699439020.87144
67600 0.0676 1701445398.76938
67700 0.0677 1703325953.51836
67800 0.0678 1705104750.60667
67900 0.0679 1706805653.53399
68000 0.068 1708457221.94342
68100 0.0681 1710093164.00573
68200 0.0682 1711759404.13788
68300 0.0683 1713523833.86655
68400 0.0684 1715464187.2597
68500 0.0685 1717629215.02851
68600 0.0686 1720008417.19763
68700 0.0687 1722544310.8461
68800 0.0688 1725174391.10588
68900 0.0689 1727859366.89363
69000 0.069 1730576682.58477
69100 0.0691 1733299422.5482
69200 0.0692 1735988350.78902
69300 0.0693 1738597750.41985
69400 0.0694 1741078924.1486
69500 0.0695 1743380268.51198
69600 0.0696 1745459784.82127
69700 0.0697 1747311013.27356
69800 0.0698 1748977145.99515
69900 0.0699 1750535777.13581
70000 0.07 1752070050.81159
70100 0.0701 1753649865.46749
70200 0.0702 1755323801.82495
70300 0.0703 1757114782.8179
70400 0.0704 1759028830.98932
70500 0.0705 1761080582.64156
70600 0.0706 1763307276.20553
70700 0.0707 1765744858.16467
70800 0.0708 1768387547.37195
70900 0.0709 1771175342.7434
71000 0.071 1774016349.59212
71100 0.0711 1776814388.79251
71200 0.0712 1779487560.90299
71300 0.0713 1781986385.23318
71400 0.0714 1784305221.02039
71500 0.0715 1786467180.24052
71600 0.0716 1788491078.32563
71700 0.0717 1790375723.04386
71800 0.0718 1792114622.10832
71900 0.0719 1793718722.36321
72000 0.072 1795227947.879
72100 0.0721 1796713671.53229
72200 0.0722 1798271758.12062
72300 0.0723 1799996834.50326
72400 0.0724 1801945521.40618
72500 0.0725 1804117044.929
72600 0.0726 1806467154.15919
72700 0.0727 1808939718.52222
72800 0.0728 1811490878.39517
72900 0.0729 1814094709.94825
73000 0.073 1816733137.69951
73100 0.0731 1819380287.04379
73200 0.0732 1821993877.67806
73300 0.0733 1824519406.0635
73400 0.0734 1826901443.87063
73500 0.0735 1829095664.15472
73600 0.0736 1831082541.77103
73700 0.0737 1832880765.95153
73800 0.0738 1834547903.04753
73900 0.0739 1836159708.9212
74000 0.074 1837778492.46121
74100 0.0741 1839433609.36377
74200 0.0742 1841129154.25467
74300 0.0743 1842872047.89633
74400 0.0744 1844695475.62811
74500 0.0745 1846654438.58873
74600 0.0746 1848795775.69657
74700 0.0747 1851130320.7129
74800 0.0748 1853628717.68504
74900 0.0749 1856234490.61064
75000 0.075 1858878730.59028
75100 0.0751 1861494503.01736
75200 0.0752 1864032990.12011
75300 0.0753 1866471012.89028
75400 0.0754 1868801594.97463
75500 0.0755 1871019264.76577
75600 0.0756 1873114957.54844
75700 0.0757 1875077033.01328
75800 0.0758 1876891569.75763
75900 0.0759 1878551546.53957
76000 0.076 1880081262.14527
76100 0.0761 1881553164.96031
76200 0.0762 1883068855.76077
76300 0.0763 1884713982.05375
76400 0.0764 1886527027.17966
76500 0.0765 1888503849.86321
76600 0.0766 1890623045.4179
76700 0.0767 1892867492.30486
76800 0.0768 1895231708.44464
76900 0.0769 1897715458.91756
77000 0.077 1900307220.20019
77100 0.0771 1902967338.66525
77200 0.0772 1905624795.7814
77300 0.0773 1908193668.71427
77400 0.0774 1910600083.77987
77500 0.0775 1912802583.12872
77600 0.0776 1914797148.90222
77700 0.0777 1916611452.18346
77800 0.0778 1918294665.64961
77900 0.0779 1919901437.60992
78000 0.078 1921470911.00181
78100 0.0781 1923017686.9869
78200 0.0782 1924551947.27426
78300 0.0783 1926113385.5809
78400 0.0784 1927778932.41238
78500 0.0785 1929629803.9998
